Cerveza µguila | HEX: 43657276657a6120c2b56775696c61
Cerveza Poker | HEX: 43657276657a6120506f6b6572
Cerveza Club Colombia | HEX: 43657276657a6120436c756220436f6c6f6d626961
Cerveza Corona | HEX: 43657276657a6120436f726f6e61
Cerveza Heineken | HEX: 43657276657a61204865696e656b656e
Cerveza Budweiser | HEX: 43657276657a6120427564776569736572
Ron Medell¡n 1/2 | HEX: 526f6e204d6564656c6cc2a16e20312f32
Ron Medell¡n A¤ejo | HEX: 526f6e204d6564656c6cc2a16e2041c2a4656a6f
Aguardiente Antioque¤o | HEX: 41677561726469656e746520416e74696f717565c2a46f
Aguardiente Antioque¤o Sin Az£car | HEX: 41677561726469656e746520416e74696f717565c2a46f2053696e20417ac2a3636172
Whisky Old Parr | HEX: 576869736b79204f6c642050617272
Whisky Buchanan?s | HEX: 576869736b792042756368616e616e3f73
Whisky Jack Daniel?s | HEX: 576869736b79204a61636b2044616e69656c3f73
Vodka Absolut | HEX: 566f646b61204162736f6c7574
Vodka Smirnoff | HEX: 566f646b6120536d69726e6f6666
Tequila Jos‚ Cuervo | HEX: 54657175696c61204a6f73e2809a2043756572766f
Ginebra Bombay | HEX: 47696e6562726120426f6d626179
Ginebra Beefeater | HEX: 47696e6562726120426565666561746572
Vino Tinto Botella | HEX: 56696e6f2054696e746f20426f74656c6c61
Vino Blanco Botella | HEX: 56696e6f20426c616e636f20426f74656c6c61
Margarita | HEX: 4d6172676172697461
Mojito | HEX: 4d6f6a69746f
Cuba Libre | HEX: 43756261204c69627265
Gin Tonic | HEX: 47696e20546f6e6963
Pi¤a Colada | HEX: 5069c2a46120436f6c616461
Shot Aguardiente | HEX: 53686f742041677561726469656e7465
Shot Tequila | HEX: 53686f742054657175696c61
Shot Vodka | HEX: 53686f7420566f646b61
Agua Natural | HEX: 41677561204e61747572616c
Agua con Gas | HEX: 4167756120636f6e20476173
Gaseosa Personal | HEX: 476173656f736120506572736f6e616c
Red Bull | HEX: 5265642042756c6c
Jugo Natural | HEX: 4a75676f204e61747572616c
Papas Fritas | HEX: 506170617320467269746173
Nachos con Queso | HEX: 4e6163686f7320636f6e20517565736f
Alitas BBQ | HEX: 416c6974617320424251
Hamburguesa Cl sica | HEX: 48616d627572677565736120436cc2a073696361
Hamburguesa Especial | HEX: 48616d627572677565736120457370656369616c
Perro Caliente | HEX: 506572726f2043616c69656e7465
Chorizo con Arepa | HEX: 43686f72697a6f20636f6e204172657061
Picada Personal | HEX: 50696361646120506572736f6e616c
Picada para Dos | HEX: 506963616461207061726120446f73
Man¡ Salado | HEX: 4d616ec2a12053616c61646f
Palomitas | HEX: 50616c6f6d69746173
Brownie | HEX: 42726f776e6965
Cheesecake | HEX: 43686565736563616b65
Caf‚ | HEX: 436166e2809a
Arom tica | HEX: 41726f6dc2a074696361
Cerveza Águila | HEX: 43657276657a6120c3816775696c61
Cerveza Poker | HEX: 43657276657a6120506f6b6572
Cerveza Club Colombia | HEX: 43657276657a6120436c756220436f6c6f6d626961
Cerveza Corona | HEX: 43657276657a6120436f726f6e61
Cerveza Heineken | HEX: 43657276657a61204865696e656b656e
Cerveza Budweiser | HEX: 43657276657a6120427564776569736572
Ron Medellín 1/2 | HEX: 526f6e204d6564656c6cc3ad6e20312f32
Ron Medellín Añejo | HEX: 526f6e204d6564656c6cc3ad6e2041c3b1656a6f
Aguardiente Antioqueño | HEX: 41677561726469656e746520416e74696f717565c3b16f
Aguardiente Antioqueño Sin Azúcar | HEX: 41677561726469656e746520416e74696f717565c3b16f2053696e20417ac3ba636172
Whisky Old Parr | HEX: 576869736b79204f6c642050617272
Whisky Buchanan’s | HEX: 576869736b792042756368616e616ee2809973
Whisky Jack Daniel’s | HEX: 576869736b79204a61636b2044616e69656ce2809973
Vodka Absolut | HEX: 566f646b61204162736f6c7574
Vodka Smirnoff | HEX: 566f646b6120536d69726e6f6666
Tequila José Cuervo | HEX: 54657175696c61204a6f73c3a92043756572766f
Ginebra Bombay | HEX: 47696e6562726120426f6d626179
Ginebra Beefeater | HEX: 47696e6562726120426565666561746572
Vino Tinto Botella | HEX: 56696e6f2054696e746f20426f74656c6c61
Vino Blanco Botella | HEX: 56696e6f20426c616e636f20426f74656c6c61
Margarita | HEX: 4d6172676172697461
Mojito | HEX: 4d6f6a69746f
Cuba Libre | HEX: 43756261204c69627265
Gin Tonic | HEX: 47696e20546f6e6963
Piña Colada | HEX: 5069c3b16120436f6c616461
Shot Aguardiente | HEX: 53686f742041677561726469656e7465
Shot Tequila | HEX: 53686f742054657175696c61
Shot Vodka | HEX: 53686f7420566f646b61
Agua Natural | HEX: 41677561204e61747572616c
Agua con Gas | HEX: 4167756120636f6e20476173
Gaseosa Personal | HEX: 476173656f736120506572736f6e616c
Red Bull | HEX: 5265642042756c6c
Jugo Natural | HEX: 4a75676f204e61747572616c
Papas Fritas | HEX: 506170617320467269746173
Nachos con Queso | HEX: 4e6163686f7320636f6e20517565736f
Alitas BBQ | HEX: 416c6974617320424251
Hamburguesa Clásica | HEX: 48616d627572677565736120436cc3a173696361
Hamburguesa Especial | HEX: 48616d627572677565736120457370656369616c
Perro Caliente | HEX: 506572726f2043616c69656e7465
Chorizo con Arepa | HEX: 43686f72697a6f20636f6e204172657061
Picada Personal | HEX: 50696361646120506572736f6e616c
Picada para Dos | HEX: 506963616461207061726120446f73
Maní Salado | HEX: 4d616ec3ad2053616c61646f
Palomitas | HEX: 50616c6f6d69746173
Brownie | HEX: 42726f776e6965
Cheesecake | HEX: 43686565736563616b65
Café | HEX: 436166c3a9
Aromática | HEX: 41726f6dc3a174696361
